Date,Value
"Thursday, September 1, 2022",333.04 million
"Friday, July 1, 2022",332.84 million
"Thursday, July 1, 2021",331.89 million
"Wednesday, July 1, 2020",331.50 million
"Monday, July 1, 2019",328.24 million
"Sunday, July 1, 2018",326.69 million
"Saturday, July 1, 2017",324.99 million
"Friday, July 1, 2016",322.94 million
"Wednesday, July 1, 2015",320.64 million
"Tuesday, July 1, 2014",318.30 million
"Monday, July 1, 2013",315.99 million
"Sunday, July 1, 2012",313.83 million
"Friday, July 1, 2011",311.56 million
"Thursday, July 1, 2010",309.32 million
"Wednesday, July 1, 2009",306.77 million
"Tuesday, July 1, 2008",304.09 million
"Sunday, July 1, 2007",301.23 million
"Saturday, July 1, 2006",298.38 million
"Friday, July 1, 2005",295.52 million
"Thursday, July 1, 2004",292.81 million
"Tuesday, July 1, 2003",290.11 million
"Monday, July 1, 2002",287.63 million
"Sunday, July 1, 2001",284.97 million
"Saturday, July 1, 2000",282.16 million
"Thursday, July 1, 1999",279.04 million
"Wednesday, July 1, 1998",275.85 million
"Tuesday, July 1, 1997",272.65 million
"Monday, July 1, 1996",269.39 million
"Saturday, July 1, 1995",266.28 million
"Friday, July 1, 1994",263.13 million
"Thursday, July 1, 1993",259.92 million
"Wednesday, July 1, 1992",256.51 million
"Monday, July 1, 1991",252.98 million
"Sunday, July 1, 1990",249.62 million
"Saturday, July 1, 1989",246.82 million
"Friday, July 1, 1988",244.50 million
"Wednesday, July 1, 1987",242.29 million
"Tuesday, July 1, 1986",240.13 million
"Monday, July 1, 1985",237.92 million
"Sunday, July 1, 1984",235.82 million
"Friday, July 1, 1983",233.79 million
"Thursday, July 1, 1982",231.66 million
"Wednesday, July 1, 1981",229.47 million
"Tuesday, July 1, 1980",227.22 million
"Sunday, July 1, 1979",225.06 million
"Saturday, July 1, 1978",222.58 million
"Friday, July 1, 1977",220.24 million
"Thursday, July 1, 1976",218.04 million
"Tuesday, July 1, 1975",215.97 million
"Monday, July 1, 1974",213.85 million
"Sunday, July 1, 1973",211.91 million
"Saturday, July 1, 1972",209.90 million
"Thursday, July 1, 1971",207.66 million
"Wednesday, July 1, 1970",205.05 million
"Tuesday, July 1, 1969",202.68 million
"Monday, July 1, 1968",200.71 million
"Saturday, July 1, 1967",198.71 million
"Friday, July 1, 1966",196.56 million
"Thursday, July 1, 1965",194.30 million
"Wednesday, July 1, 1964",191.89 million
"Monday, July 1, 1963",189.24 million
"Sunday, July 1, 1962",186.54 million
"Saturday, July 1, 1961",183.69 million
"Friday, July 1, 1960",180.67 million
"Wednesday, July 1, 1959",177.83 million
"Tuesday, July 1, 1958",174.88 million
"Monday, July 1, 1957",171.98 million
"Sunday, July 1, 1956",168.90 million
"Friday, July 1, 1955",165.93 million
"Thursday, July 1, 1954",163.03 million
"Wednesday, July 1, 1953",160.18 million
"Tuesday, July 1, 1952",157.55 million
"Sunday, July 1, 1951",154.88 million
"Saturday, July 1, 1950",152.27 million
"Friday, July 1, 1949",149.19 million
"Thursday, July 1, 1948",146.63 million
"Tuesday, July 1, 1947",144.13 million
"Monday, July 1, 1946",141.39 million
"Sunday, July 1, 1945",139.93 million
"Saturday, July 1, 1944",138.40 million
"Thursday, July 1, 1943",136.74 million
"Wednesday, July 1, 1942",134.86 million
"Tuesday, July 1, 1941",133.40 million
"Monday, July 1, 1940",132.12 million
"Saturday, July 1, 1939",130.88 million
"Friday, July 1, 1938",129.82 million
"Thursday, July 1, 1937",128.82 million
"Wednesday, July 1, 1936",128.05 million
"Monday, July 1, 1935",127.25 million
"Sunday, July 1, 1934",126.37 million
"Saturday, July 1, 1933",125.58 million
"Friday, July 1, 1932",124.84 million
"Wednesday, July 1, 1931",124.04 million
"Tuesday, July 1, 1930",123.08 million
"Monday, July 1, 1929",121.77 million
"Sunday, July 1, 1928",120.51 million
"Friday, July 1, 1927",119.04 million
"Thursday, July 1, 1926",117.40 million
"Wednesday, July 1, 1925",115.83 million
"Tuesday, July 1, 1924",114.11 million
"Sunday, July 1, 1923",111.95 million
"Saturday, July 1, 1922",110.05 million
"Friday, July 1, 1921",108.54 million
"Thursday, July 1, 1920",106.46 million
"Tuesday, July 1, 1919",104.51 million
"Monday, July 1, 1918",103.21 million
"Sunday, July 1, 1917",103.27 million
"Saturday, July 1, 1916",101.96 million
"Thursday, July 1, 1915",100.55 million
"Wednesday, July 1, 1914",99.11 million
"Tuesday, July 1, 1913",97.22 million
"Monday, July 1, 1912",95.33 million
"Saturday, July 1, 1911",93.86 million
"Friday, July 1, 1910",92.41 million
"Thursday, July 1, 1909",90.49 million
"Wednesday, July 1, 1908",88.71 million
"Monday, July 1, 1907",87.01 million
"Sunday, July 1, 1906",85.45 million
"Saturday, July 1, 1905",83.82 million
"Friday, July 1, 1904",82.17 million
"Wednesday, July 1, 1903",80.63 million
"Tuesday, July 1, 1902",79.16 million
"Monday, July 1, 1901",77.58 million
"Sunday, July 1, 1900",76.09 million
